mark,year,mileage,fuel,price,result
3,2019,139715,2,110967,0.75
5,2022,7,2,779300,1.0
4,2016,93000,2,37900,0.25
16,2009,256226,0,20900,0.25
0,2018,160000,3,39200,0.25
2,2021,5,2,639000,1.0
2,2021,5,3,276900,1.0
3,2010,158265,2,19900,0.25
6,2018,143000,3,44999,0.25
17,2010,187527,2,17900,0.25
0,2015,195000,3,20999,0.25
19,2010,133200,2,34900,0.25
0,2015,95000,2,37000,0.25
20,2009,139000,2,24900,0.25
2,2016,105000,2,169000,1.0
4,2008,204816,2,19900,0.25
5,2006,226000,2,17990,0.25
4,2018,120660,3,43650,0.25
21,2006,143004,2,28900,0.25
1,2009,206000,2,25900,0.25
2,2004,270000,2,25900,0.25
14,2017,100000,3,79900,0.5
8,2018,149853,3,65900,0.5
7,2016,89000,2,36990,0.25
6,2006,278000,3,7400,0.0
1,2007,270000,2,25000,0.25
21,2018,83300,2,67900,0.5
5,2008,225225,3,15500,0.25
12,2020,1900,2,74000,0.5
20,2018,29000,2,39900,0.25
15,2020,10950,3,18900,0.25
20,2010,201000,2,22700,0.25
19,2014,124198,2,48800,0.25
20,2014,161000,3,39900,0.25
2,2021,5000,2,267500,1.0
6,2020,28090,2,54900,0.5
2,2014,100000,2,79900,0.5
1,2020,10044,2,169900,1.0
12,2021,1,4,71600,0.5
19,2012,90851,2,37900,0.25
0,2006,163000,2,9900,0.0
0,2018,117084,3,65990,0.5
8,2016,113900,2,69800,0.5
16,2016,91174,2,81900,0.5
2,2005,173599,2,18000,0.25
15,2014,183500,3,64990,0.5
3,2007,239840,3,18800,0.25
3,2003,209000,2,5600,0.0
13,2015,126500,2,59900,0.5
8,2018,55082,2,81900,0.5
2,2004,245000,3,25900,0.25
19,2016,132300,3,44900,0.25
20,2017,106439,3,90500,0.5
3,2003,132883,2,10900,0.25
1,2009,158000,2,27800,0.25
0,2014,190000,3,19900,0.25
19,2012,166000,2,55348,0.5
1,2002,162000,2,16400,0.25
0,2010,171400,2,23900,0.25
6,2011,204000,2,24900,0.25
3,2003,307000,0,20000,0.25
20,2011,205258,3,24700,0.25
0,2007,132593,2,14500,0.25
12,2013,101000,2,25900,0.25
1,2021,1,3,186900,1.0
22,2010,193974,3,28000,0.25
6,2014,83660,2,45999,0.25
13,2015,128000,3,63900,0.5
0,2012,137700,2,15000,0.25
21,2020,19471,2,89900,0.5
2,2006,231000,2,19900,0.25
22,2015,74000,3,169900,1.0
4,2008,242345,3,15900,0.25
1,2020,7312,4,189850,1.0
1,2020,8819,3,299900,1.0
4,2012,240000,3,29999,0.25
1,2009,320000,3,29900,0.25
8,2018,95785,3,99900,0.5
20,2013,169000,3,39900,0.25
3,2013,190000,3,45500,0.25
6,2006,452139,3,2949,0.0
2,2022,1,3,244710,1.0
4,2009,179000,2,17900,0.25
20,2011,147000,2,19999,0.25
5,2016,100582,2,139000,0.75
1,2021,20,3,297971,1.0
14,2010,80000,2,39900,0.25
7,2007,148640,3,16000,0.25
3,2010,169800,2,25900,0.25
3,2007,100000,2,16500,0.25
1,2004,310000,3,19500,0.25
4,2017,50298,3,104900,0.75
1,2017,173000,3,129900,0.75
1,2018,50000,2,107000,0.75
1,2021,0,3,325600,1.0
1,2021,28120,4,439900,1.0
3,2018,80500,2,164900,1.0
2,1999,232000,2,52900,0.5
18,2021,5,4,172890,1.0
0,2021,1,2,65590,0.5
4,2017,86000,2,138990,0.75
22,2019,134625,3,164000,1.0
1,2011,242000,2,35900,0.25
14,2014,106674,2,40500,0.25
2,2016,125000,3,129150,0.75
1,2004,210000,2,12999,0.25
16,2009,106000,3,15500,0.25
12,2009,229145,3,12800,0.25
1,2004,316000,2,12900,0.25
1,2017,141000,3,78700,0.5
0,2007,223000,2,26900,0.25
19,2017,194000,3,75400,0.5
2,2000,310000,0,14999,0.25
11,2009,122000,2,18900,0.25
5,2021,1,2,196100,1.0
5,2010,192725,3,17900,0.25
13,2007,137007,2,23600,0.25
4,2016,24960,2,69900,0.5
15,2021,15,2,96300,0.5
1,2021,5,3,280400,1.0
7,2019,40172,4,99600,0.5
1,2014,255421,3,67900,0.5
12,2018,40000,2,50000,0.25
14,2019,43579,2,62800,0.5
8,2021,5,2,85200,0.5
19,2011,219000,2,30900,0.25
22,2017,1800,2,96999,0.5
4,2021,1,2,179900,1.0
15,2005,144000,2,8600,0.0
0,2021,31,5,158900,1.0
1,2009,187800,3,34900,0.25
4,2012,89000,2,28800,0.25
7,2017,113468,4,72900,0.5
7,2021,1,4,104900,0.75
0,2009,196123,2,13200,0.25
6,2010,158000,2,13900,0.25
5,2005,244000,2,21400,0.25
11,2016,236000,3,43333,0.25
2,2005,240949,3,36700,0.25
7,2019,33749,2,57600,0.5
1,2006,249000,2,18900,0.25
7,2012,262200,2,32600,0.25
15,2020,5000,4,109500,0.75
15,2018,33000,2,38900,0.25
4,2016,129000,2,44999,0.25
4,2009,134747,2,15300,0.25
1,2008,256053,3,30900,0.25
0,2004,122000,2,9900,0.0
22,2012,171000,3,62900,0.5
19,2004,235000,2,6997,0.0
2,2016,240943,3,64900,0.5
20,2016,189000,3,39900,0.25
1,2005,269000,2,24900,0.25
3,2008,127000,2,23900,0.25
20,2012,181000,3,32900,0.25
7,2008,212645,2,23500,0.25
0,2012,75000,2,21900,0.25
6,2008,202789,2,26900,0.25
3,2016,75145,3,28900,0.25
0,2008,185000,2,21800,0.25
0,2011,142000,2,26900,0.25
22,2008,334894,2,20700,0.25
13,2002,180000,2,7999,0.0
2,2011,207000,2,64900,0.5
8,2021,1,3,204850,1.0
4,2006,208000,2,9300,0.0
2,2021,10000,4,569900,1.0
8,2020,21875,2,118900,0.75
4,2011,181496,2,31900,0.25
19,2011,185000,2,36900,0.25
2,2009,182394,3,15500,0.25
0,2012,189745,3,32777,0.25
5,2021,5,2,274999,1.0
4,2006,154000,2,14500,0.25
19,2018,49000,2,89900,0.5
5,2016,73000,2,114900,0.75
11,2008,208000,2,17900,0.25
6,2008,415000,0,6550,0.0
7,2011,215000,2,25900,0.25
5,2015,14600,2,258298,1.0
15,2021,10,2,59500,0.5
4,2020,19500,2,240020,1.0
0,2012,192000,0,22000,0.25
3,2008,235300,3,10700,0.25
3,2017,88000,3,105000,0.75
0,2011,166000,2,26900,0.25
3,2011,219000,2,39000,0.25
5,2019,14173,2,133900,0.75
1,2005,229000,2,16400,0.25
3,2017,36500,2,44000,0.25
3,2005,149000,2,10900,0.25
3,2016,31000,2,54900,0.5
2,2001,239881,3,16800,0.25
14,2008,170000,2,21700,0.25
0,2007,251000,2,12900,0.25
1,2022,10,3,280300,1.0
5,2019,25935,3,164900,1.0
8,2021,5,2,149850,0.75
17,2016,124265,3,105800,0.75
1,2017,120545,3,129900,0.75
2,2019,44000,3,279000,1.0
1,2020,21000,2,130345,0.75
0,2009,376000,3,18500,0.25
4,2008,307000,3,18900,0.25
11,2016,132000,3,54900,0.5
0,2007,156000,2,10900,0.25
7,2007,219662,2,18900,0.25
1,2017,240000,3,89900,0.5
0,2014,155000,3,32900,0.25
0,2000,200000,2,5500,0.0
0,2017,175500,3,68900,0.5
11,2012,230000,3,27000,0.25
4,2017,155110,3,78800,0.5
0,2009,198000,2,29900,0.25
8,2021,8,2,112500,0.75
3,2005,220000,2,16900,0.25
3,2012,129000,2,32900,0.25
5,2006,270000,3,16000,0.25
12,2008,198000,2,9900,0.0
3,2016,97000,3,71900,0.5
15,2009,123500,2,9900,0.0
19,2015,66000,2,46000,0.25
16,2011,218170,3,23200,0.25
5,2018,43503,3,189000,1.0
0,2010,234000,2,19900,0.25
17,2014,135000,3,63900,0.5
6,2005,220000,2,8900,0.0
14,2016,143990,3,36900,0.25
3,2016,99545,3,51900,0.5
16,2018,36000,2,79900,0.5
19,1999,11500,2,51000,0.5
4,2003,220000,2,8300,0.0
1,2012,219200,3,56900,0.5
